year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2019,Good,Biens,TC,2,34018.04,70166.58,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Construction,Construction,TC,0,0,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Service,Services,AC,11,2518141.65,731024.38,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Good,Biens,AC,0,0,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Construction,Construction,AC,0,0,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Service,Services,OB,128,25441363.45,9046512.69,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Good,Biens,OB,49,4043630.57,1802522.84,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Construction,Construction,OB,1,405660.96,1056513.77,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Service,Services,TC,372,46302600.47,29087490.74,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Good,Biens,TC,284,22433715.83,2602423.54,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Construction,Construction,TC,32,10926868.65,1215244.70,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Service,Services,TN,245,12247541.27,2795568.76,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Good,Biens,TN,195,8786704.07,-220920.07,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Construction,Construction,TN,11,229213.91,112931.85,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Service,Services,AC,10,2000269.42,4344916.30,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Good,Biens,AC,1,169617.89,0,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Construction,Construction,AC,1,71176.18,0,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2019,Service,Services,TC,54,2985602.28,112038.30,Canadian Grain Commission,Commission canadienne des grains
2019,Good,Biens,TC,86,4817322.84,0,Canadian Grain Commission,Commission canadienne des grains
2019,Construction,Construction,TC,0,0,0,Canadian Grain Commission,Commission canadienne des grains
2019,Service,Services,TN,96,2345770.37,54222.83,Canadian Grain Commission,Commission canadienne des grains
2019,Good,Biens,TN,75,3351164.14,-59863.63,Canadian Grain Commission,Commission canadienne des grains
2019,Construction,Construction,TN,2,31650.15,0,Canadian Grain Commission,Commission canadienne des grains
2019,Service,Services,OB,5,201261.32,118824.30,Canadian Grain Commission,Commission canadienne des grains
2019,Good,Biens,OB,16,1417126.04,0,Canadian Grain Commission,Commission canadienne des grains
2019,Construction,Construction,OB,0,0,0,Canadian Grain Commission,Commission canadienne des grains
2019,Service,Services,TC,25,1487704.29,320172.39,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Good,Biens,TC,6,730450.74,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Construction,Construction,TC,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Service,Services,TN,51,1568371.92,135748.57,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Good,Biens,TN,22,781852.93,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Construction,Construction,TN,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Service,Services,OB,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Good,Biens,OB,1,117169.70,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Construction,Construction,OB,0,0,0,Canadian Human Rights Commission,Commission canadienne des droits de la personne
2019,Service,Services,TN,229,49915730.10,10943943.80,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
2019,Good,Biens,TN,125,46822171.21,1035343.66,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada"
