year,commodity_type,contracts_count,original_value,amendment_value,department,,,,,
2017,C,22,3130804,330976,Parole Board of Canada | Commission des libérations conditionnelles du Canada,,,,,
2017,C,77,320652.05,4998.48,Parks Canada | Parcs Canada,,,,,
2017,C,48,41538,0,Canadian Heritage | Patrimoine canadien,,,,,
2017,C,20,160620.07,23222.33,Public Health Agency of Canada | Agence de la santé publique du Canada,,,,,
2017,C,12,154396.1,-6068.97,Patented Medicine Prices Review Board Canada | Conseil d'examen du prix des médicaments brevetés Canada,,,,,
2017,C,83,405825,238953,Public Prosecution Service of Canada | Service des poursuites pénales du Canada,,,,,
2017,C,74,558793,17065,Public Service Commission of Canada | Commission de la fonction publique du Canada,,,,,
2017,C,88,6552025.82,0,Office of the Public Sector Integrity Commissioner of Canada | Commissariat à l'intégrité du secteur public du Canada,,,,,
2017,C,23,5929164.8,492315.08,Public Safety Canada | Sécurité publique Canada,,,,,
2017,C,43,8960838.23,-24387.37,Public Services and Procurement Canada | Services publics et Approvisionnement Canada,,,,,
2017,C,53,210744.92,-3520.51,Royal Canadian Mounted Police | Gendarmerie royale du Canada,,,,,
2017,C,15,1511165.09,36164.33,Shared Services Canada | Services partagés Canada,,,,,
2017,C,4,81992,16313,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada,,,,,
2017,C,23,123222.15,9472.23,Statistics Canada | Statistique Canada,,,,,
2017,C,245,911526.25,151225,Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,,,,,
2017,C,42,214558913.4,2405578.12,Transport Canada | Transports Canada,,,,,
2017,C,62,6649019.76,960399.79,Veterans Affairs Canada | Anciens Combattants Canada,,,,,
2017,C,53,1783696.94,75078.21,Veterans Review and Appeal Board | Tribunal des anciens combattants (révision et appel),,,,,
2017,C,22,46260.63,-859.7,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada,,,,,
2017,G,77,361364.58,3998.45,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,,,,,
2017,G,48,309645.81,38182.14,Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,,,,,
2017,G,20,2511593.4,174233.37,Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,,,,,
2017,G,12,542775.62,8155.81,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord,,,,,
2017,G,83,127982.59,0,Courts Administration Service | Service administratif des tribunaux judiciaires,,,,,
2017,G,74,114890.02,0,Canada Border Services Agency | Agence des services frontaliers du Canada,,,,,
2017,G,88,388839.08,-40425.83,Canadian Centre for Occupational Health and Safety | Centre canadien d'hygiène et de sécurité au travail,,,,,
2017,G,23,405947,26802,Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,,,,,
