department,year,type,number_contracts,contracts_value
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2013,Services,43,1949236.23
Library and Archives Canada | Bibliothèque et Archives Canada,2016,Services,35,4655128.86
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2008,Other,79,65806822.51
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2017,Construction,118,10025051.78
Employment and Social Development Canada | Emploi et Développement social Canada,2009,Other,1830,503558755.04
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2018,Construction,1,24901.70
Correctional Service of Canada | Service correctionnel du Canada,2018,Services,1086,89693782.32
Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,2015,Services,27,188730.89
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2015,Goods,11,237458.54
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2018,Goods,7,610555.41
Library and Archives Canada | Bibliothèque et Archives Canada,2016,Goods,3,206983.67
Canadian Grain Commission | Commission canadienne des grains,2016,Other,1,18965.75
Employment and Social Development Canada | Emploi et Développement social Canada,2015,Services,113,125201611.56
Canada Revenue Agency | Agence du revenu du Canada,2014,Other,1244,197903565.58
Canada Revenue Agency | Agence du revenu du Canada,2002,Other,13,44617928.25
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2017,Services,1050,107459006.60
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2017,Services,28,1668678.23
Employment and Social Development Canada | Emploi et Développement social Canada,2015,Goods,1,7723544.11
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,2016,Goods,9,252542.11
Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,2015,Goods,1,1470.60
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2017,Goods,930,36548938.61
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2018,Services,474,135129627.37
Library and Archives Canada | Bibliothèque et Archives Canada,2015,Services,15,2719417.91
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2014,Services,34,2241248.54
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2018,Construction,71,5286509.54
Canada Border Services Agency | Agence des services frontaliers du Canada,2017,Goods,189,30893933.69
