department,year,type,number_contracts,contracts_value
Natural Resources Canada | Ressources naturelles Canada,2017,Goods,586,30747349.01
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2018,Services,18,660988.77
Global Affairs Canada | Affaires mondiales Canada,2010,Services,2,23175719.50
Canadian Intergovernmental Conference Secretariat | Secrétariat des conférences intergouvernementales canadiennes,2017,Other,19,395268.05
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2017,Goods,54,3117321.50
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2014,Services,4,3694237.12
Natural Resources Canada | Ressources naturelles Canada,2017,Construction,48,4582577.14
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2011,Services,1,1482159.51
National Defence | Défense nationale,2008,Services,1,494985231.20
Canadian Space Agency | Agence spatiale canadienne,2009,Services,1,772982.84
Fisheries and Oceans Canada | Pêches et Océans Canada,2016,Construction,1412,470418364.15
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2010,Other,46,1690297.58
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2010,Other,79,4049962.00
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2018,Goods,20,663118.98
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2018,Services,205,23983451.46
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2017,Services,167,15747027.34
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2014,Goods,2,1154087.16
Natural Resources Canada | Ressources naturelles Canada,2016,Services,52,73235575.71
National Defence | Défense nationale,2008,Goods,5,4564650905.10
Fisheries and Oceans Canada | Pêches et Océans Canada,2015,Goods,187,129774183.44
Canadian Human Rights Commission | Commission canadienne des droits de la personne,2016,Services,14,400226.50
Canadian Intergovernmental Conference Secretariat | Secrétariat des conférences intergouvernementales canadiennes,2017,Services,1,12401.75
Fisheries and Oceans Canada | Pêches et Océans Canada,2015,Services,653,3221797457.24
Canadian Human Rights Commission | Commission canadienne des droits de la personne,2016,Goods,8,209365.89
Global Affairs Canada | Affaires mondiales Canada,2006,Other,3344,226878555.56
Canadian Intergovernmental Conference Secretariat | Secrétariat des conférences intergouvernementales canadiennes,2017,Goods,1,11625.20
National Defence | Défense nationale,2008,Other,10432,6632602719.56
National Research Council Canada | Conseil national de recherches Canada,2014,Other,2236,150754837.00
Natural Resources Canada | Ressources naturelles Canada,2018,Goods,464,17062239.67
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2017,Services,39,1560621.86
Global Affairs Canada | Affaires mondiales Canada,2011,Services,2,1045733.50
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2016,Goods,13,1450765.75
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2015,Services,23,14402302.65
Natural Resources Canada | Ressources naturelles Canada,2018,Construction,37,1443541.73
Health Canada | Santé Canada,2010,Services,2,1242999.58
Fisheries and Oceans Canada | Pêches et Océans Canada,2017,Goods,2629,408946410.18
Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,2015,Services,1,27120.00
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2011,Other,46,1806899.05
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2017,Services,366,46148306.90
Fisheries and Oceans Canada | Pêches et Océans Canada,2017,Construction,1384,273749272.41
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2017,Goods,21,1241258.19
Global Affairs Canada | Affaires mondiales Canada,2011,Goods,4,2671266.02
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2016,Services,94,19365257.28
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2015,Goods,3,4453331.49
Global Affairs Canada | Affaires mondiales Canada,2011,Construction,1,333419.64
Courts Administration Service | Service administratif des tribunaux judiciaires,2013,Services,1,1382617.95
Fisheries and Oceans Canada | Pêches et Océans Canada,2016,Goods,2758,473731907.00
Natural Resources Canada | Ressources naturelles Canada,2017,Services,1803,213337929.19
Canadian Human Rights Commission | Commission canadienne des droits de la personne,2015,Services,3,413515.03
National Defence | Défense nationale,2009,Other,18402,8973280654.93
Fisheries and Oceans Canada | Pêches et Océans Canada,2016,Services,3749,392646775.07
Health Canada | Santé Canada,2011,Services,4,196213.54
Global Affairs Canada | Affaires mondiales Canada,2005,Other,1841,163529013.87
National Research Council Canada | Conseil national de recherches Canada,2013,Other,2357,178710638.00
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2018,Goods,125,8396855.23
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2009,Other,4311,189225971.18
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2018,Construction,11,633925.34
Global Affairs Canada | Affaires mondiales Canada,2012,Services,30,31273654.51
Fisheries and Oceans Canada | Pêches et Océans Canada,2009,Other,830,340250112.63
National Defence | Défense nationale,2018,Services,4253,775193479.41
National Defence | Défense nationale,2006,Services,2,216092451.50
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2012,Services,1,4345205.74
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2016,Goods,3,62118.27
Canadian Human Rights Commission | Commission canadienne des droits de la personne,2013,Services,1,423428.96
Fisheries and Oceans Canada | Pêches et Océans Canada,2014,Construction,13,110006967.04
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2016,Services,107,46009987.28
Natural Resources Canada | Ressources naturelles Canada,2015,Goods,4,3851420.04
National Defence | Défense nationale,2018,Goods,5979,668380902.96
Natural Resources Canada | Ressources naturelles Canada,2014,Services,13,9121894.12
National Defence | Défense nationale,2018,Construction,915,116697750.40
Fisheries and Oceans Canada | Pêches et Océans Canada,2013,Goods,3,2901384.76
Canadian Human Rights Commission | Commission canadienne des droits de la personne,2014,Services,1,337384.41
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2017,Goods,243,16042090.29
Fisheries and Oceans Canada | Pêches et Océans Canada,2013,Services,104,136047040.64
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2016,Services,7,780585.89
Correctional Service of Canada | Service correctionnel du Canada,2010,Other,118,153880010.00
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2008,Other,3603,130685091.12
National Research Council Canada | Conseil national de recherches Canada,2012,Other,2271,529936189.00
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2017,Construction,16,19480132.75
Global Affairs Canada | Affaires mondiales Canada,2008,Other,3061,342313624.64
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2018,Services,377,24342954.23
Global Affairs Canada | Affaires mondiales Canada,2013,Services,42,55697246.17
Fisheries and Oceans Canada | Pêches et Océans Canada,2008,Other,558,178583222.78
National Defence | Défense nationale,2017,Services,6261,2281233161.40
Courts Administration Service | Service administratif des tribunaux judiciaires,2015,Goods,1,47090.48
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2018,Goods,21,710178.00
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2013,Services,4,1624690.39
Fisheries and Oceans Canada | Pêches et Océans Canada,2015,Construction,150,563674534.46
Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,2013,Services,1,38137.50
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2018,Goods,110,7660459.49
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2015,Services,41,92210844.93
Natural Resources Canada | Ressources naturelles Canada,2016,Goods,3,246744.77
Global Affairs Canada | Affaires mondiales Canada,2013,Construction,2,243486.17
National Defence | Défense nationale,2017,Goods,7195,1131007808.98
Courts Administration Service | Service administratif des tribunaux judiciaires,2015,Services,2,345698.53
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2018,Services,106,7946100.12
Natural Resources Canada | Ressources naturelles Canada,2015,Services,17,7422568.41
National Defence | Défense nationale,2017,Construction,1095,190475031.15
Canadian Transportation Agency | Office des transports du Canada,2018,Services,50,3609492.97
Fisheries and Oceans Canada | Pêches et Océans Canada,2014,Goods,22,1316215531.63
Department of Finance Canada | Ministère des Finances Canada,2018,Services,90,13310274.08
Global Affairs Canada | Affaires mondiales Canada,2007,Other,3372,181790245.96
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2016,Goods,11,2375799.25
Correctional Service of Canada | Service correctionnel du Canada,2011,Other,188,232200774.00
Canadian Transportation Agency | Office des transports du Canada,2018,Goods,17,909871.14
Fisheries and Oceans Canada | Pêches et Océans Canada,2014,Services,162,67834358.71
National Research Council Canada | Conseil national de recherches Canada,2011,Other,2583,172009331.00
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2015,Services,3,221865.46
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2016,Construction,19,45004630.81
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2007,Other,2981,124573456.79
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2017,Goods,40,6414790.42
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2013,Services,2,10557775.80
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2018,Goods,49,5072688.04
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2014,Services,8,21345211.85
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2015,Services,4,2508500.00
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2016,Services,27,39339869.36
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2015,Goods,2,1128373.57
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2016,Goods,5,3157811.29
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2017,Services,159,59381759.60
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2006,Services,2,107317946.28
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2018,Services,184,97474677.57
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2009,Services,1,369271236.10
