year,commodity_type,contracts_count,original_value,amendment_value,solicitation_procedure_code,department
2017,G,85,34351.80,0,TC,Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat Ã  la magistrature fÃ©dÃ©rale Canada
2017,G,157,92767.50,0,OB,Farm Products Council of Canada | Conseil des produits agricoles du Canada
2017,G,27,58195.00,0,OB,Health Canada | SantÃ© Canada
2017,G,92,106474.31,0,AC,"Innovation, Science and Economic Development Canada | Innovation, Sciences et DÃ©veloppement Ã©conomique Canada"
2017,G,61,75146.80,0,AC,Department of Justice | MinistÃ¨re de la Justice
2017,G,13,45087.00,0,AC,Library and Archives Canada | BibliothÃ¨que et Archives Canada
2017,G,15,48680.49,0,AC,Military Grievances External Review Committee | ComitÃ© externe dâ€™examen des griefs militaires
2017,G,17,31817.10,0,AC,Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada
2017,G,19,40731.53,0,AC,National Energy Board | Office national de l'Ã©nergie
2017,G,53,40731.53,0,TC,National Film Board | Office national du film
2017,G,25,32925.04,0,TC,Natural Resources Canada | Ressources naturelles Canada
2017,G,70,32925.04,0,TC,National Research Council Canada | Conseil national de recherches Canada
2017,G,18,44627.10,0,TC,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en gÃ©nie du Canada
2017,G,93,125190.53,0,TC,Office of the Auditor General of Canada | Bureau du vÃ©rificateur gÃ©nÃ©ral du Canada
2017,G,58,53880.00,0,TC,Office of the Commissioner of Lobbying of Canada | Commissariat au lobbying du Canada
2017,G,157,52500.00,0,TN,Office of the Commissioner of Official Languages | Commissariat aux langues officielles
2017,G,27,52500.00,0,TC,Office of the Information Commissioner of Canada | Commissariat Ã  l'information du Canada
2017,G,92,163590.00,0,TN,Office of the Privacy Commissioner of Canada | Commissariats Ã  lâ€™information et Ã  la protection de la vie privÃ©e au Canada
2017,G,61,25023.12,0,OB,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financiÃ¨res Canada
2017,G,13,62642.68,0,OB,Office of the Secretary to the Governor General | Bureau du secrÃ©taire du gouverneur gÃ©nÃ©ral
2017,G,15,33258.91,0,TC,Parole Board of Canada | Commission des libÃ©rations conditionnelles du Canada
2017,G,17,40160.00,0,TC,Parks Canada | Parcs Canada
2017,G,19,28769.74,0,TC,Canadian Heritage | Patrimoine canadien
2017,G,187,61921.18,0,OB,Veterans Affairs Canada | Anciens Combattants Canada
2017,G,13,25969.89,0,TN,Veterans Review and Appeal Board | Tribunal des anciens combattants (rÃ©vision et appel)
2017,G,96,29617.35,0,OB,Western Economic Diversification Canada | Diversification de l'Ã©conomie de l'Ouest Canada
