year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Service,Services,193,618899.66,93895.46,Office of the Privacy Commissioner of Canada,Commissariats à l’information et à la protection de la vie privée au Canada
2017,Good,Biens,105,325742.67,0,Office of the Privacy Commissioner of Canada,Commissariats à l’information et à la protection de la vie privée au Canada
2017,Construction,Construction,0,0,0,Office of the Privacy Commissioner of Canada,Commissariats à l’information et à la protection de la vie privée au Canada
2017,Service,Services,339,1158209.03,126560.18,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
2017,Good,Biens,346,1159413.76,93469.95,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
2017,Construction,Construction,0,0,0,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada
2017,Service,Services,169,492237.5,50499.84,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
2017,Good,Biens,79,270923.79,-9774.81,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
2017,Construction,Construction,0,0,0,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général
2017,Service,Services,237,602993.12,-4208.38,Parole Board of Canada,Commission des libérations conditionnelles du Canada
2017,Good,Biens,173,298582.19,3304.29,Parole Board of Canada,Commission des libérations conditionnelles du Canada
2017,Construction,Construction,0,0,0,Parole Board of Canada,Commission des libérations conditionnelles du Canada
2017,Service,Services,12764,23882738.90,2425294.54,Parks Canada,Parcs Canada
2017,Good,Biens,11078,20886203.56,140053.90,Parks Canada,Parcs Canada
2017,Construction,Construction,979,2044280.81,901539.66,Parks Canada,Parcs Canada
2017,Service,Services,2872,6022008.49,568958.95,Canadian Heritage,Patrimoine canadien
2017,Good,Biens,541,1489610.38,25755.78,Canadian Heritage,Patrimoine canadien
2017,Construction,Construction,57,125989.19,4972.94,Canadian Heritage,Patrimoine canadien
2017,Service,Services,1098,5008758.91,616950.42,Public Health Agency of Canada,Agence de la santé publique du Canada
2017,Good,Biens,2230,10805649.77,7479.31,Public Health Agency of Canada,Agence de la santé publique du Canada
2017,Construction,Construction,224,813128.33,16937.68,Public Health Agency of Canada,Agence de la santé publique du Canada
2017,Service,Services,120,333811.5,6305.4,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada
2017,Good,Biens,100,440591.63,56.5,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada
2017,Construction,Construction,0,0,0,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada
2017,Service,Services,263,739242.24,86506.21,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
2017,Good,Biens,121,293890.08,6146.51,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
2017,Construction,Construction,0,0,0,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
2017,Service,Services,1082,2271753.99,14747.34,Public Service Commission of Canada,Commission de la fonction publique du Canada
2017,Good,Biens,46,203781.30,12584.42,Public Service Commission of Canada,Commission de la fonction publique du Canada
2017,Construction,Construction,0,0,0,Public Service Commission of Canada,Commission de la fonction publique du Canada
2017,Service,Services,49,123222.15,9472.23,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada
2017,Good,Biens,14,51491.08,101.7,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada
2017,Construction,Construction,0,0,0,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada
2017,Service,Services,585,1483441.02,158440.45,Public Safety Canada,Sécurité publique Canada
2017,Good,Biens,162,410564.59,29428.61,Public Safety Canada,Sécurité publique Canada
2017,Construction,Construction,0,0,0,Public Safety Canada,Sécurité publique Canada
2017,Service,Services,18887,235151388.38,2901523.71,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
2017,Good,Biens,2500,19452786.89,487289.94,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
2017,Construction,Construction,9949,328637365.37,2049931.85,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
2017,Service,Services,3912,10668819.16,1378567.37,Royal Canadian Mounted Police,Gendarmerie royale du Canada
2017,Good,Biens,5717,17093116.18,126869.57,Royal Canadian Mounted Police,Gendarmerie royale du Canada
2017,Construction,Construction,272,1747646.43,1256208.75,Royal Canadian Mounted Police,Gendarmerie royale du Canada
2017,Service,Services,2212,3495037.96,-160879.85,Shared Services Canada,Services partagés Canada
2017,Good,Biens,1189,3689147.74,284820.27,Shared Services Canada,Services partagés Canada
2017,Construction,Construction,480,1338341.76,34378.84,Shared Services Canada,Services partagés Canada
2017,Service,Services,29,46260.63,-859.7,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada
2017,Good,Biens,20,44137.61,120.35,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada
2017,Construction,Construction,0,0,0,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada
2017,Service,Services,251,665388.01,4073.59,Statistics Canada,Statistique Canada
2017,Good,Biens,269,1032908.26,6754.69,Statistics Canada,Statistique Canada
2017,Construction,Construction,0,0,0,Statistics Canada,Statistique Canada
2018,Service,Services,161,555367.03,34450.64,Status of Women Canada,Condition féminine Canada
2018,Good,Biens,24,78240.45,9221.42,Status of Women Canada,Condition féminine Canada
2018,Construction,Construction,0,0,0,Status of Women Canada,Condition féminine Canada
2017,Service,Services,186,690400.37,120896.73,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
2017,Good,Biens,64,288570.40,15504.55,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
2017,Construction,Construction,0,0,0,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
2017,Service,Services,2032,6002690.11,328081.72,Transport Canada,Transports Canada
2017,Good,Biens,6163,12551917.93,315786.77,Transport Canada,Transports Canada
2017,Construction,Construction,8,22603.81,0,Transport Canada,Transports Canada
2017,Service,Services,708,1129606.24,14973.39,Veterans Affairs Canada,Anciens Combattants Canada
2017,Good,Biens,561,1382901.82,1138.5,Veterans Affairs Canada,Anciens Combattants Canada
2017,Construction,Construction,0,0,0,Veterans Affairs Canada,Anciens Combattants Canada
2017,Service,Services,85,242872.61,0,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
2017,Good,Biens,41,107757.78,0,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
2017,Construction,Construction,0,0,0,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
2018,Service,Services,5,6298.07,0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2018,Good,Biens,1,3821.76,0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2018,Construction,Construction,0,0,0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2017,Service,Services,229,1120695.98,-101609.53,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
2017,Good,Biens,72,299887.05,-24504.68,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
2017,Construction,Construction,0,0,0,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
