year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Service,Services,154,1226944.05,300233.58,Department of Finance Canada,Ministère des Finances Canada
2017,Good,Biens,104,379470.48,10742.16,Department of Finance Canada,Ministère des Finances Canada
2017,Construction,Construction,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2017,Service,Services,58,374953.50,68560.18,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2017,Good,Biens,26,181209.64,9950.03,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2017,Construction,Construction,0,0,0,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2017,Service,Services,273,1957308.23,265715.22,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2017,Good,Biens,74,293971.44,1720,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2017,Construction,Construction,1,24012.50,0,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2017,Service,Services,19,52486.38,472,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Good,Biens,19,50056.95,5465.3,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Construction,Construction,0,0,0,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Service,Services,5023,28944110.79,3093958.59,Health Canada,Santé Canada
2017,Good,Biens,2510,10809928.64,152850.51,Health Canada,Santé Canada
2017,Construction,Construction,42,452938.03,82664.68,Health Canada,Santé Canada
2017,Service,Services,2453,12980683.27,699118.58,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2017,Good,Biens,737,4772517.08,425163.04,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2017,Construction,Construction,30,281595.75,676.72,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2017,Service,Services,6,100530.87,3843.00,International Joint Commission,Commission mixte internationale
2017,Good,Biens,0,0,0,International Joint Commission,Commission mixte internationale
2017,Construction,Construction,0,0,0,International Joint Commission,Commission mixte internationale
2017,Service,Services,56,879274.38,33867.81,Infrastructure Canada,Infrastructure Canada
2017,Good,Biens,22,232274.47,26225.87,Infrastructure Canada,Infrastructure Canada
2017,Construction,Construction,0,0,0,Infrastructure Canada,Infrastructure Canada
2017,Service,Services,11,189148.49,95505.96,Indigenous Services Canada,Services aux Autochtones Canada
2017,Good,Biens,5,105070.36,0,Indigenous Services Canada,Services aux Autochtones Canada
2017,Construction,Construction,1,9994.85,4407.00,Indigenous Services Canada,Services aux Autochtones Canada
2017,Service,Services,1567,5880145.94,905272.54,Department of Justice,Ministère de la Justice
2017,Good,Biens,608,2018889.00,38931.92,Department of Justice,Ministère de la Justice
2017,Construction,Construction,0,0,0,Department of Justice,Ministère de la Justice
2017,Service,Services,143,1131872.07,169483.15,Library and Archives Canada,Bibliothèque et Archives Canada
2017,Good,Biens,126,1003940.43,5197.42,Library and Archives Canada,Bibliothèque et Archives Canada
2017,Construction,Construction,2,15384.95,0,Library and Archives Canada,Bibliothèque et Archives Canada
2017,Service,Services,24,197510.83,23222.33,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2017,Good,Biens,22,135580.23,6316.7,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2017,Construction,Construction,0,0,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2017,Service,Services,39,415337.38,-1661.97,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2017,Good,Biens,14,49810.15,0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2017,Construction,Construction,0,0,0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2017,Service,Services,214,1751769.05,289040.27,National Energy Board,Office national de l'énergie
2017,Good,Biens,170,894227.17,48254.50,National Energy Board,Office national de l'énergie
2017,Construction,Construction,0,0,0,National Energy Board,Office national de l'énergie
2017,Service,Services,4744,7502311.55,53701.07,National Film Board,Office national du film
2017,Good,Biens,655,1200123.49,0,National Film Board,Office national du film
2017,Construction,Construction,0,0,0,National Film Board,Office national du film
2017,Service,Services,3425,22366975.16,1696770.06,Natural Resources Canada,Ressources naturelles Canada
2017,Good,Biens,1953,10382786.82,183417.50,Natural Resources Canada,Ressources naturelles Canada
2017,Construction,Construction,125,781153.02,6871.19,Natural Resources Canada,Ressources naturelles Canada
2017,Service,Services,3409,17947350.90,830430.05,National Research Council Canada,Conseil national de recherches Canada
2017,Good,Biens,10882,29413687.94,53543.02,National Research Council Canada,Conseil national de recherches Canada
2017,Construction,Construction,132,882289.61,91422.02,National Research Council Canada,Conseil national de recherches Canada
2017,Service,Services,122,486897.47,73952.59,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada
2017,Good,Biens,86,210745.64,27409.79,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada
2017,Construction,Construction,0,0,0,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada
2017,Service,Services,363,2980522.41,336008.53,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2017,Good,Biens,95,597145.71,-2289.44,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2017,Construction,Construction,0,0,0,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2017,Service,Services,3,63999.81,0,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada
